id,street,street_number,city,postal_code,lat,lon,name
713,Schattenhofergasse,7,Regensburg,93047,49.0193625200987,12.10515208005462,Hugo Schall KG
714,Schattenhofergasse,7,Regensburg,93047,49.0193625200987,12.10515208005462,Schall Geschäftsführungs GmbH
715,Deischgasse,2,Regensburg,93047,49.01765348186242,12.093150845477927,PRISMA GmbH Projektentwicklung - Wohnbau
716,Deischgasse,2,Regensburg,93047,49.01765348186242,12.093150845477927,PRISMA Wohnbau e.K.
717,Wollwirkergasse,10,Regensburg,93047,49.02080056670152,12.086850599987168,Verein kommunikatives Wohnen e.V.
718,Haaggasse,1,Regensburg,93047,49.02178520003127,12.08756141663596,Edelweiss Michael Jaugstetter UG (haftungsbeschränkt)
719,Lederergasse,6,Regensburg,93047,49.022011350010416,12.087286249982368,Michael Graf Bäckerei - Konditorei + Kaffee-Betrieb
720,Wollwirkergasse,8,Regensburg,93047,49.0207179833485,12.086966916644949,roomcode.GmbH
721,Am Protzenweiher,27,Regensburg,93059,49.026235550037626,12.092661437515034,KPR Geschäftsführungs- + Verwaltungs GmbH + Co. Erste Gross Kienitz KG
722,Am Protzenweiher,27,Regensburg,93059,49.026235550037626,12.092661437515034,KPR Geschäftsführungs- + Verwaltungs GmbH + Co. Filmproduktions KG
723,Am Protzenweiher,27,Regensburg,93059,49.026235550037626,12.092661437515034,KPR Geschäftsführungs- + Verwaltungs GmbH
724,Am Protzenweiher,27,Regensburg,93059,49.026235550037626,12.092661437515034,Klaus Ratzinger Flaschengrosshandlung
725,Spitalgasse,1,Regensburg,93059,49.02462594001431,12.095380780007693,Krippenverein Regensburg e.V.
726,An der Irler Höhe,40,Regensburg,93055,49.00946863761273,12.136475224647462,Oberflächenzentrum Baumer e.K.
727,An der Irler Höhe,38,Regensburg,93055,49.00961341256775,12.136253874891953,Iliotec Solar GmbH
728,Auweg,32,Regensburg,93055,49.016135514325406,12.128858200013996,Werkhof Regensburg gGmbH der Evang.-Luth. Gesamtkirchengemeinde und des Diakonischen Werkes Regensburg
729,Auweg,32,Regensburg,93055,49.016135514325406,12.128858200013996,Werkhof Regensburg gGmbH der Evang.-Luth.Gesamtkirchengemeinde
730,Auweg,32,Regensburg,93055,49.016135514325406,12.128858200013996,Werkhof Amberg-Sulzbach gemeinnützige Gesellschaft mbH Ein Unternehmen der Diakonie
731,Auweg,34,Regensburg,93055,49.01611797507117,12.1291060625287,CHRISTIAN GRESSER Behälter- + Anlagenbau GmbH
732,Minoritenweg,25,Regensburg,93047,49.01713685006696,12.10614469999413,de-iure-pl Verwaltungsgesellschaft UG (haftungsbeschränkt)
733,Minoritenweg,25,Regensburg,93047,49.01713685006696,12.10614469999413,de-iure-pl UG (haftungsbeschränkt) + Co. KG
734,An der Irler Höhe,1,Regensburg,93055,49.01230885007167,12.13092378545682,B + S Autosalon GmbH
735,Ostengasse,31,Regensburg,93047,49.01900630011979,12.10654377271548,Regensburger Wohnstätten e.V.
736,Am Ölberg,6,Regensburg,93047,49.017062280052265,12.091004639997648,Bibliotheksverband Niederbayern und Oberpfalz e.V.
737,Am Ölberg,6,Regensburg,93047,49.01742915005173,12.09098064990921,Bibliotheksverband Niederbayern und Oberpfalz e.V.
